Pourtant sceptique, en g&eacute;n&eacute;ral les mascaras de cette marque me d&eacute;çoivent, mais l&agrave; il est fabuleux. La brosse est g&eacute;nialement pens&eacute;e. C'est impressionnant l'effet de courbure qu'il donnent aux cils. Ils pourraient être un peu plus allong&eacute;s, mais vraiment je l'adore! Le regard est vraiment tr&egrave;s intense. Adopt&eacute; pour longtemps! J'en rach&egrave;terai!! |||5|||5
bon mascara, mais pour moi, la forme incurvee du baton n'est pas une bonne idee; il est en U, avec un cote "poils/piquants courts" et de l'autre "poils/piquants longs". je ne me sers que du bout "poils/piquants longs": que du bout car c'est en U et dc je ne peux pas me servir de tous les "poils/piquant", c'est dommage. l'autre cote de me sers pas. |||4|||5
Ce mascara donne du volume à mes cils et les noircit. J'ai de petits cils très courts et en tournant la brosse je réussis à avoir un très joli effet. Il ne s'effrite pas dans la journée et dure longtemps. Facile à retirer avec du démaquillant classique. C'est vraiment un superbe mascara idéal pour les personnes avec des cils quasi invisibles. La version waterproof est top également |||5|||5
Ça fait des années que je garde le même mascara, j'en suis très contente il donne une bonne ondulation aux cils et sans paquets |||5|||5
critique réalisée par ma petite amie : j ai acheté ce mascara de marque pour les fêtes de fin d'année, il est conforme à ce que j attendais de lui, il ne coule pas étant waterproof, reste, qu'il faut en mettre au moins deux couches si vous voulez un effet volume ! |||4|||5
J'ai acheté ce mascara car je n'en entendais que du positif, et en effet : il sépare bien les cis, les allonge, donne du volume, mais malheureusement, seul bémol, il ne tient pas la courbure, et il est un peu difficile à démaquiller, même avec un baume démaquillant adapté aux maquillages waterproof.\r\nMais je le recommande malgré tout, pour son prix, il rempli bien son travail ! |||4|||5
Après trois jours d'essai je ne suis pas convaincu sur l'effet volume mais j'attend car parfois quand ils ont un peu séché après quelques jours d'utilisation la texture change et le résultat aussi  sinon il separe très bien les cils et ne coule pas ni ne pique les yeux c'est pourquoi j'ai mit 3 étoiles |||3|||5
Ce mascara est juste parfait. Les cils sont allongés et recourbés, c'est la deuxième fois que j'achète ce mascara et j'en suis toujours aussi satisfaite. Le rapport qualité prix est parfait.\r\nUn essentiel de ma trousse à  maquillage |||5|||5
le  produit et de bonne qualit&eacute; et correcte, il allonge les cils , mais la couleur brown et tellement fonc&eacute; qu'il et comparable au noir, donc un peut d&eacute;çu pour le rendu (brown) |||2|||5
AUSSITÔT ACHETÉ AUSSITÔT TESTé .... et en effet, j'ai été bien étonnée car il allonge parfaitement les cils et en plus comme c'est un noir très fort ...on a l'impression d'avoir un peu élargi nos cils mais effet léger... donc rapport qualité prix il vaut bien les grosses marques qui ne sont pas aussi prometteuses que sur la promesse faite dans leur packaging!!!! par contre, je pense que le gemey sèche vite comparé aux autres marques ....à voir à la longue... |||5|||5
Je sors d'un cancer donc j'ai perdu forcément mes cils et depuis je n'arrive pas à trouver un mascara qui me les recourbait comme je le voulais.\r\nNon seulement celui qui les mets bien en éventail mais de plus il est très facile pour le démaquillage donc pas de cils arrachés ou qui tombent,  surtout que les miens sont fragiles donc je recommande |||5|||5
Jamais eu de soucis en l'achetant en magasin. A ce jour ce produit est une horreur il fait des paquets énormes au cils... C'est très dommage je ne commanderai plus ici.... |||1|||5
Brosse intelligente avec des picots sur la brosse qui sont courts d'un coté et long de l'autre. Les brosses recourbantes sont et restent les meilleures. De plus il est moins cher sur Amazon. Pourvu que ca dure! Tres satisfaite, les cils sont plus espacés, soignés et l'effet de la brosse les coiffe. |||5|||5
Comme le dit le titre trop collant fait des paquets, je suis obligée de l' étirer avec une autre brosse à cils. La teinte marron est trop foncéon ne fait pas la différence avec du noir. |||2|||5
Je n'aime la brosse en plastique trop épaisse, il vaut mieux qu'elle soit plus fine et en fibres naturelles pour bien travailler les cils\r\nJe préfère mon mythique Drama de lancôme qui donne des cils de poupée |||1|||5
Ce mascara est probablement le meilleur que j'ai essayé avec le All in 1 de UNE.\r\n\r\nUTILISATION\r\nIl n'est absolument pas difficile à prendre en main, la brosse est vendue comme phénoménale mais son utilisation est classique : d'abord le côté concave qui permet de séparer les cils en tout petits groupes, voir cil à cil comme un peigne le ferait un peigne à dents très serrées sur des cheveux, puis le côté convexe plus volumineux permettant de déposer une plus grande quantité de mascara sur ces cils séparés.\r\nIl s'agit de faire pivoter la brosse au cours de l'utilisation, naïvement.\r\n\r\nEFFICACITE\r\nLa substance est facile à appliquer, fluide. Le volume est là, très satisfaisant, et déploiement des cils est indiscutable (ceux qui diront le contraires soit n'ont pas su utiliser la brosse soit ont la chance d'avoir trop de cils) et paraissent effectivement longs, plus qu'avec le Great Lash de Gemey.\r\n\r\nTENUE\r\nLa tenue est bonne. En revanche, comme je l'utilise en combinaison avec un Waterproof (Volum'Express Rocket de Gemey), je ne saurais parler de sa tenue au quotidien.\r\n\r\nDUREE DE VIE\r\nJe ne m'exprimerai pas avec certitude sur sa durée de vie, bien qu'en fonction de sa consistance au bout de 2 semaines et des autres mascaras que j'ai testés, je lui prédis 6 mois de services avant dessèchement.\r\n\r\nEDIT 6 mois plus tard : Effectivement, je l'ai jeté au bout de 6 mois. Je déconseille très vivement le vendeur Beauty-discount : ils perdent leurs colis et ne l'admettent qu'après + de 2 mois d'échanges e-mails intensifs, après quoi ils forcent le remboursement dès qu'ils sentent que vous vous ne les croyez plus. Je n'achète plus que par le vendeur Amazon, dont la livraison est rapide et certaine ^^ |||5|||5
je voulais remercier la jeune fille qui a mis une photo du résultat car c est grâce à elle que je l ai acheté  et sincèrement moi qui avait l habitude d en utiliser deux pour avoir quelque chose de bien et bien la non. ce mascara fait complètement son travail. je suis ravie je l adore. il est parfait pour moi |||5|||5
Reçu très vite à un prix beaucoup plus intéressant qu'en supermarché :\r\nJe l'aime beaucoup, donne du volume et de la courbure d'un effet très naturel sans effet faux cils cartonnés, effet cil à cil grâce a la brosse très bien pensée : ressemble à l'effet que j'avais obtenue avec un autre mascara de grande marque (brosse en silicone souple ) |||5|||5
Mascara parfait, ne fait pas de paquet. J'adore sa brosse qui respecte bien la position et la forme de chacun de mes cils. Je le précise car ce n'est pas toujours le cas avec les mascaras! Mes cils sont fins et pas très longs, et grâce à ce mascara, ils sont bien fournis sans trop exagéré!\r\nJe recommande |||5|||5
Je ne m'étais jamais arrêté sur les mascaras de cette marque et très bonne surprise. Il surpasse certains mascaras à plus de 30 euros. Très bon compromis.\r\n*POINT POSITIFS\r\n+ La tenue! Il ne coule pas sous les yeux, il tient toute la journée sans bouger ( à moins de plonger dans une piscine 😅 testé...)\r\n+ Les cils sont séparés, allongés et ont un volume fulgurant\r\n+Couleur intense\r\n+ La brosse est très pratique et fait bien le job ( ne pas oublier les petits cils externe et aux coins de l'œil)\r\n*POINTS NÉGATIFS\r\n-Gros point négatif sur le démaquillage qui est difficile et frustrant\r\n-Cils carton au touché et dur, c'est dommage\r\nPs: hydrater vos cils ! Avec de l'huile de ricin qui a permis à mes cils de les densifier ( avec de la patience) les allonger mais SURTOUT je ne retrouve plus mes cils sur le coton démaquillant !!!\r\nEn espérant que mon commentaire vous a été utile. Si tel est le cas, faites le moi savoir en cliquant sur utile 😙 |||4|||5
Un super mascara, qui tient toutes ces promesses.\r\nJ'ai jamais été autant bluffer par un mascara.\r\n Niveau volume, il apporte du volume juste comme il faut sans faire de paquets.\r\nNiveau longueur, rien à dire, il allongent mes cils et créer un regard de biche.\r\n\r\nPour le prix plus que abordable, je recommande vivement ce mascara.\r\n\r\nJ'ai pris une photo de mon œil gauche sans mascara et une photo de mon œil droit après l'application du mascara, afin que vous puissiez avoir une idée du résultat qu'il donne sachant que j'ai des cils de taille moyennes, et je suis blonde, donc la couleur noir les allongent encore plus. |||5|||5
J'ai testé de nombreuses marques et de nombreux modèles. J'aime quand les cils sont volumineux ET allongés, sans effet pâté. Celui là est VRAIMENT super, il suffit d'un passage pour avoir de supers cils. Il a une brosse incurvée avec de petits pics d'un côté pour le volume et évité les paquets. De longs pics de l'autre pour allonger les cils... Le résultat est bluffant !!! Je le recommanderai sans souci |||5|||5
